> icd3_top <- icd %>% group_by(c3) %>% summarise( n= n(),
+ perc = round(n/nrow(df) * 100,digits=2),
+ alc_perc_grp = mean(alc_n) * 100) %>%
+ arrange(desc(alc_perc_grp)) %>% filter(n > 1000) %>% print(n=200)
Source: local data frame [163 x 4]

       c3     n  perc alc_perc_grp
    (chr) (int) (dbl)        (dbl)
75    A41 30785  2.02   10.1607926
76    G40  2511  0.16   10.0756671
77    I80  2507  0.16    9.9720782
78    E87 21118  1.38    9.8067999
79    J84  2670  0.17    9.7752809
80    K72  2344  0.15    9.7696246
81    R19  1187  0.08    9.6040438
82    I95  4564  0.30    9.5968449
83    J06  1935  0.13    9.5090439
84    M10  1097  0.07    8.8422972
85    R18  2007  0.13    8.8191330
86    R13  2699  0.18    8.8180808
87    J18 73861  4.84    8.8016680
88    Z71  1391  0.09    8.6987779
89    G45  9938  0.65    8.5731536
90    A09 14955  0.98    8.4854564
91    R09  2257  0.15    8.3739477
92    J69  6642  0.43    8.2806384
93    J90  8998  0.59    8.2129362
94    R17  1705  0.11    8.0938416
95    J40  1336  0.09    8.0838323
96    D64 14493  0.95    8.0797626
97    R55 24513  1.61    8.0406315
98    I35  1045  0.07    8.0382775
99    J98  1612  0.11    7.9404467
100   I50 80905  5.30    7.9179284
101   R06 22701  1.49    7.8410643
102   R51  1850  0.12    7.8378378
103   R33  4590  0.30    7.6252723
104   J11  1640  0.11    7.6219512
105   R50 14835  0.97    7.6171217
106   R42  9906  0.65    7.6115486
107   I74  1556  0.10    7.5835476
108   R11  8745  0.57    7.3527730
109   K65  1879  0.12    7.2378925
110   H81  1474  0.10    6.9877883
111   I10  4908  0.32    6.2550937
112   J44 70462  4.61    6.0472311
113   J81  3296  0.22    6.0376214
114   L02  1220  0.08    5.9836066
115   K55  2772  0.18    5.9163059
116   I71  3872  0.25    5.6818182
117   R10 27581  1.81    5.6053080
118   D50  1447  0.09    5.3904630
119   I48 30074  1.97    5.3501363
120   K83  4944  0.32    5.2791262
121   A49  1563  0.10    5.2463212
122   I26  6531  0.43    5.1600061
123   K43  1917  0.13    5.1121544
124   N12  3589  0.24    4.9317359
125   I46  5274  0.35    4.8919226
126   T83  1311  0.09    4.8054920
127   K92 41304  2.70    4.7695138
128   K56 40450  2.65    4.7515451
129   J93  1930  0.13    4.7150259
130   K22  1061  0.07    4.6182846
131   I25  1711  0.11    4.4418469
132   T85  1721  0.11    4.4160372
133   T81 11523  0.75    4.3304695
134   R94 33566  2.20    4.2960138
135   I44  5923  0.39    4.2714840
136   K40  2840  0.19    4.2605634
137   I49  3805  0.25    4.1261498
138   R00 10992  0.72    4.0847889
139   I45  1253  0.08    4.0702314
140   D69  1068  0.07    3.9325843
141   I21 20212  1.32    3.8195132
142   I24 23890  1.56    3.6709920
143   K57  8336  0.55    3.6708253
144   K62  8283  0.54    3.6701678
145   R31 11290  0.74    3.6581045
146   T82  2232  0.15    3.6290323
147   K91  1981  0.13    3.5335689
148   I31  1333  0.09    3.4508627
149   D70  4948  0.32    3.4155214
150   R04  4852  0.32    3.3182193
151   R07 24680  1.62    3.2090762
152   J45  3307  0.22    3.1448443
153   K85 12832  0.84    3.0392768
154   T78  1238  0.08    2.9886914
155   N13  3270  0.21    2.9663609
156   I47  5309  0.35    2.8818987
157   K81  9597  0.63    2.6362405
158   K80  9260  0.61    2.5269978
159   K37  1860  0.12    1.7204301
160   N23  1900  0.12    1.6315789
161   I20 19954  1.31    1.4733888
162   N20  2501  0.16    1.2395042
163   K35  4496  0.29    0.9564057
